year,team,slot,round,pick,player,pos,manager,key,ecr,dev
2025,Billy,10,4,31,Trey McBride,TE,Billy,trey mcbride,21.15,9.850000000000001
2025,Billy,10,5,50,Mike Evans,WR,Billy,mike evans,33.64,16.36
2025,Billy,10,6,51,D'Andre Swift,RB,Billy,dandre swift,65.79,-14.790000000000006
2025,Billy,10,7,70,Isiah Pacheco,RB,Billy,isiah pacheco,74.28,-4.280000000000001
2025,Billy,10,8,71,Ricky Pearsall,WR,Billy,ricky pearsall,96.34,-25.340000000000003
2025,Billy,10,9,90,Zach Charbonnet,RB,Billy,zach charbonnet,115.85,-25.849999999999994
2025,Billy,10,10,91,Jordan Addison,WR,Billy,jordan addison,89.93,1.0699999999999932
2025,Billy,10,11,110,Tyler Warren,TE,Billy,tyler warren,125.9,-15.900000000000006
2025,Billy,10,12,111,Braelon Allen,RB,Billy,braelon allen,161.18,-50.18000000000001
2025,Billy,10,13,130,Baltimore Ravens,DST,Billy,baltimore ravens,170.88,-40.879999999999995
2025,Billy,10,14,131,Kyle Williams,WR,Billy,kyle williams,170.55,-39.55000000000001
2025,Billy,10,15,150,Jack Bech,WR,Billy,jack bech,193.84,-43.84
